Path,BR_INST_RETIRED,BR_MISS_PRED_RETIRED,CPU_CLK_UNHALTED,INST_RETIRED,LLC_MISSES:0x41,LLC_REFS:0x4f,arith:fpu_div_active,l1d:0x1,l2_rqsts:0x1,l2_rqsts:0x3,l2_rqsts:0x8,l2_rqsts:0x20,mem_trans_retired:0x2,mem_uops_retired:all_stores,misalign_mem_ref:0x1,misalign_mem_ref:0x2,resource_stalls:any,uops_dispatched:core
12,3433201.9368421054,5863.8105263157895,113260910.23157895,78519218.29473685,10141.431578947368,283594.5789473684,2273039.3684210526,3393542.747368421,1824550.4315789475,2020186.5368421052,120526.05263157895,21309.242105263158,29857565.957894735,31193580.347368423,8.821052631578947,0.5263157894736842,21875955.442105263,369107418.0631579
5,7916593.7894736845,7392.1894736842105,118737160.38947369,109168750.69473684,58558.757894736846,221278.9894736842,1245751.252631579,6878569.810526316,2802379.263157895,2989155.505263158,77061.65263157895,17902.01052631579,36417420.010526314,37118696.12631579,0.5684210526315789,5.494736842105263,26518820.115789473,342028450.1263158
32,46869.0,7749.0,1932056.0,553290.5,2806.0,16121.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,41934473.5882353,62694.529411764706,116154460.55882353,152156287.36764705,356043.9411764706,3700774.617647059,2819.294117647059,7774669.44117647,3778941.617647059,6627218.176470588,27847.617647058825,12188.558823529413,33949840.52941176,37362797.61764706,12.147058823529411,0.5294117647058824,15054841.029411765,346603515.2352941
7,8729587.378947368,7614.978947368421,121029302.87368421,118565842.05789474,117845.67368421053,1011296.5052631579,2865.4315789473685,8695947.368421054,4125736.4736842103,4997532.3263157895,192391.31578947368,18469.126315789475,36651162.85263158,37253816.905263156,0.16842105263157894,5.926315789473684,28644267.8,335573218.04210526
15,8476624.221052632,7033.421052631579,117802018.42105263,116110356.25789474,64454.768421052635,177241.36842105264,1284911.4736842106,7006480.621052631,3068133.557894737,3309892.9368421054,42432.6,16323.526315789473,38775120.88421053,43633386.042105265,0.09473684210526316,12.463157894736842,22857886.768421054,340264321.7157895
19,5529337.389473684,6099.1894736842105,114458416.03157894,73210942.08947368,69568.12631578947,1448919.3263157895,2890.642105263158,5659698.368421053,2267433.0210526315,3372532.7157894736,405906.1789473684,18196.22105263158,23749747.43157895,22819104.77894737,4.536842105263158,2.2842105263157895,29319616.442105263,363462592.02105266
4,9267750.263157895,7280.2,124859754.44210526,130110328.99473684,78439.68421052632,172101.7894736842,1461030.2,7568462.505263158,3244124.442105263,3356286.347368421,33799.094736842104,12303.957894736843,39969814.368421055,45659767.11578947,0.49473684210526314,0.0,28598614.915789474,333996583.96842104
17,5354082.947368421,6185.4631578947365,115348828.01052631,72877375.96842106,68295.87368421053,1168892.0105263158,734469.0315789473,5495754.810526316,2247809.7789473683,3323018.852631579,250316.09473684212,18617.926315789475,23297386.8,24471837.12631579,2.610526315789474,1.0842105263157895,27648888.063157894,336304854.57894737
16,8307300.294736842,7851.0,121524834.6,115319513.57894737,117282.68421052632,952854.5894736842,45221.61052631579,8391085.810526315,3926038.6736842105,4588036.052631579,150328.0105263158,20485.294736842105,35855297.25263158,41575237.67368421,4.294736842105263,1.0526315789473684,25738819.705263156,332975022.30526316
