,BR_INST_RETIRED,BR_MISS_PRED_RETIRED,CPU_CLK_UNHALTED,INST_RETIRED,LLC_MISSES:0x41,LLC_REFS:0x4f,arith:fpu_div_active,l1d:0x1,l2_rqsts:0x1,l2_rqsts:0x3,l2_rqsts:0x8,l2_rqsts:0x20,mem_trans_retired:0x2,mem_uops_retired:all_stores,misalign_mem_ref:0x1,misalign_mem_ref:0x2,resource_stalls:any,uops_dispatched:core,Time
0,1338540373.815463,4152163.3416458936,11790696266.832922,25283055157.855328,8436422.1945137,135600916.4588527,548153591.0224439,501780358.60349065,290904706.7331671,383097584.78803027,17710623.44139649,2151807.980049872,3428609845.8852806,3493129842.3940177,421.945137157108,474.8129675810461,3677745841.1471357,32852884504.488758,10
1,1338540373.815463,4152163.3416458936,11790696266.832922,25283055157.855328,8436422.1945137,135600916.4588527,548153591.0224439,501780358.60349065,290904706.7331671,383097584.78803027,17710623.44139649,2151807.980049872,3428609845.8852806,3493129842.3940177,421.945137157108,474.8129675810461,3677745841.1471357,32852884504.488758,20
2,1338540373.815463,4152163.3416458936,11790696266.832922,25283055157.855328,8436422.1945137,135600916.4588527,548153591.0224439,501780358.60349065,290904706.7331671,383097584.78803027,17710623.44139649,2151807.980049872,3428609845.8852806,3493129842.3940177,421.945137157108,474.8129675810461,3677745841.1471357,32852884504.488758,30
3,1338540373.815463,4152163.3416458936,11790696266.832922,25283055157.855328,8436422.1945137,135600916.4588527,548153591.0224439,501780358.60349065,290904706.7331671,383097584.78803027,17710623.44139649,2151807.980049872,3428609845.8852806,3493129842.3940177,421.945137157108,474.8129675810461,3677745841.1471357,32852884504.488758,40
4,1347615189.4763072,4159028.1795511344,11796422105.885313,25434946109.177044,8383693.715710731,134292151.57107264,551477929.0274321,505049913.9152118,294178329.3266833,385649716.95760566,17528838.8528678,2056705.8852867782,3447148576.1596045,3480813108.2294226,512.9177057356607,471.97007481296663,3626747964.9376574,32772807329.32676,50
5,1353665066.58354,4163604.738154623,11800239331.920225,25536206743.391518,8348541.396508737,133419641.64588563,553694154.3640906,507229617.4563588,296360744.3890274,387351138.40398955,17407649.127182025,1993304.4887780505,3459507729.6758146,3472601952.119696,573.5660847880304,470.0748129675802,3592749380.7980056,32719422545.88537,60
6,1353665066.58354,4163604.738154623,11800239331.920225,25536206743.391518,8348541.396508737,133419641.64588563,553694154.3640906,507229617.4563588,296360744.3890274,387351138.40398955,17407649.127182025,1993304.4887780505,3459507729.6758146,3472601952.119696,573.5660847880304,470.0748129675802,3592749380.7980056,32719422545.88537,70
7,1353665066.58354,4163604.738154623,11800239331.920225,25536206743.391518,8348541.396508737,133419641.64588563,553694154.3640906,507229617.4563588,296360744.3890274,387351138.40398955,17407649.127182025,1993304.4887780505,3459507729.6758146,3472601952.119696,573.5660847880304,470.0748129675802,3592749380.7980056,32719422545.88537,80
8,1312979579.3815458,4068549.715710725,11801391055.531172,24772315079.01252,8441055.23192021,131932617.68578558,551013936.2294267,530749418.93266857,324884525.0972571,413030600.76808,22335367.012468833,2053092.438902739,3378414754.872821,3291209144.3790464,500.0099750623438,427.4014962593518,3778925763.9800544,31871103755.30181,90
9,1184142203.2418964,3767542.1446383963,11805038180.299242,22353324808.47881,8734015.710723208,127223708.4788028,542526578.8029921,605228790.2743144,415209830.6733173,494348898.2543646,37939806.98254363,2242420.9476309195,3121620334.663343,2716798586.533661,267.0822942643388,292.2693266832917,4368484310.7232,29184760918.453896,100
