Path,IPC
0,1.7026785045857222
1,2.4668257075057567
2,2.347744872715188
3,2.3458012442798046
4,2.024535027128021
5,2.0798159173090984
6,2.0937861558643176
7,2.0809877216843606
8,2.022824701806383
9,2.0653403364248395
10,2.1305623151625084
11,2.1346997551601095
12,2.3308775740942163
13,2.2596875818276168
14,2.254318861988463
15,2.0768066423487177
16,2.0741688499729234
17,2.055376031202834
18,2.0743594127432488
19,2.049085994225234
20,2.0656807881511825
21,2.2696965592403364
22,2.247116902310544
23,2.2326120915667715
24,2.1971901914110887
25,2.081145224734607
26,2.0397486112622096
27,2.0517327610209284
28,1.8661272062114955
29,1.7016706757897413
