Path,Instructions,Cycles,IPC,Time,Total_Time
0,3711073400.0,116076863.56818181,1.7026785045857222,1.877678467779074,1.877678467779074
1,3711073400.0,117467215.03333333,2.4668257075057567,1.2806911431183299,3.158369610897404
2,91004741900.0,118199977.85365854,2.347744872715188,32.7941007340183,35.9524703449157
3,91004741900.0,118164060.9195122,2.3458012442798046,32.83124878788497,68.78371913280067
12,205000000000.0,118137822.04146342,2.3308775740942163,74.4466976039365,143.23041673673717
13,206000000000.0,118126014.96829268,2.2596875818276168,77.17440117751495,220.40481791425213
14,206000000000.0,118155529.48048781,2.254318861988463,77.33887045679944,297.7436883710516
15,38384061400.0,118101547.18048781,2.0768066423487177,15.649457034680552,313.3931454057321
16,39194461400.0,118130372.07804878,2.0741688499729234,15.99628087786837,329.38942628360047
17,38993669400.0,117603512.41707318,2.055376031202834,16.131788697685586,345.52121498128605
18,38410061400.0,118176907.95853658,2.0743594127432488,15.668534288983361,361.18974927026943
19,39220461400.0,118235449.98529412,2.049085994225234,16.18843273609094,377.37818200636036
20,39019669400.0,118168678.13414635,2.0656807881511825,15.985197176725933,393.3633791830863
21,136000000000.0,118234999.84146342,2.2696965592403364,50.67865192819655,444.0420311112828
22,137000000000.0,118241010.06829268,2.247116902310544,51.5616456283885,495.6036767396713
23,133000000000.0,118216395.64634146,2.2326120915667715,50.391890850501284,545.9955675901726
24,55372061400.0,118224220.72371638,2.1971901914110887,21.316533457831962,567.3121010480046
25,56182461400.0,118200050.07317074,2.081145224734607,22.839190908451403,590.151291956456
26,55981669400.0,118349599.70487805,2.0397486112622096,23.190088483557666,613.3413804400137
