,BR_INST_RETIRED,BR_MISS_PRED_RETIRED,CPU_CLK_UNHALTED,INST_RETIRED,LLC_MISSES:0x41,LLC_REFS:0x4f,arith:fpu_div_active,l1d:0x1,l2_rqsts:0x1,l2_rqsts:0x3,l2_rqsts:0x8,l2_rqsts:0x20,mem_trans_retired:0x2,mem_uops_retired:all_stores,misalign_mem_ref:0x1,misalign_mem_ref:0x2,resource_stalls:any,uops_dispatched:core,Time
0,1151416714.4254293,1075357.9462102705,11792515430.073355,21833633272.86068,42132147.67726161,171645154.76772597,486573353.3007328,418683122.9828849,198648832.51833713,302165794.6210266,38036714.18092915,2369752.8117359416,2984002994.621034,3036736685.0855794,167.72616136919314,15513.447432762812,4448689176.528118,28287895462.836163,10
1,1151416714.4254293,1075357.9462102705,11792515430.073355,21833633272.86068,42132147.67726161,171645154.76772597,486573353.3007328,418683122.9828849,198648832.51833713,302165794.6210266,38036714.18092915,2369752.8117359416,2984002994.621034,3036736685.0855794,167.72616136919314,15513.447432762812,4448689176.528118,28287895462.836163,20
2,1151416714.4254293,1075357.9462102705,11792515430.073355,21833633272.86068,42132147.67726161,171645154.76772597,486573353.3007328,418683122.9828849,198648832.51833713,302165794.6210266,38036714.18092915,2369752.8117359416,2984002994.621034,3036736685.0855794,167.72616136919314,15513.447432762812,4448689176.528118,28287895462.836163,30
3,1151416714.4254293,1075357.9462102705,11792515430.073355,21833633272.86068,42132147.67726161,171645154.76772597,486573353.3007328,418683122.9828849,198648832.51833713,302165794.6210266,38036714.18092915,2369752.8117359416,2984002994.621034,3036736685.0855794,167.72616136919314,15513.447432762812,4448689176.528118,28287895462.836163,40
4,1151416714.4254293,1075357.9462102705,11792515430.073355,21833633272.86068,42132147.67726161,171645154.76772597,486573353.3007328,418683122.9828849,198648832.51833713,302165794.6210266,38036714.18092915,2369752.8117359416,2984002994.621034,3036736685.0855794,167.72616136919314,15513.447432762812,4448689176.528118,28287895462.836163,50
5,1151416714.4254293,1075357.9462102705,11792515430.073355,21833633272.86068,42132147.67726161,171645154.76772597,486573353.3007328,418683122.9828849,198648832.51833713,302165794.6210266,38036714.18092915,2369752.8117359416,2984002994.621034,3036736685.0855794,167.72616136919314,15513.447432762812,4448689176.528118,28287895462.836163,60
6,1151416714.4254293,1075357.9462102705,11792515430.073355,21833633272.86068,42132147.67726161,171645154.76772597,486573353.3007328,418683122.9828849,198648832.51833713,302165794.6210266,38036714.18092915,2369752.8117359416,2984002994.621034,3036736685.0855794,167.72616136919314,15513.447432762812,4448689176.528118,28287895462.836163,70
7,1151416714.4254293,1075357.9462102705,11792515430.073355,21833633272.86068,42132147.67726161,171645154.76772597,486573353.3007328,418683122.9828849,198648832.51833713,302165794.6210266,38036714.18092915,2369752.8117359416,2984002994.621034,3036736685.0855794,167.72616136919314,15513.447432762812,4448689176.528118,28287895462.836163,80
8,1151416714.4254293,1075357.9462102705,11792515430.073355,21833633272.86068,42132147.67726161,171645154.76772597,486573353.3007328,418683122.9828849,198648832.51833713,302165794.6210266,38036714.18092915,2369752.8117359416,2984002994.621034,3036736685.0855794,167.72616136919314,15513.447432762812,4448689176.528118,28287895462.836163,90
9,1151416714.4254293,1075357.9462102705,11792515430.073355,21833633272.86068,42132147.67726161,171645154.76772597,486573353.3007328,418683122.9828849,198648832.51833713,302165794.6210266,38036714.18092915,2369752.8117359416,2984002994.621034,3036736685.0855794,167.72616136919314,15513.447432762812,4448689176.528118,28287895462.836163,100
10,1151416714.4254293,1075357.9462102705,11792515430.073355,21833633272.86068,42132147.67726161,171645154.76772597,486573353.3007328,418683122.9828849,198648832.51833713,302165794.6210266,38036714.18092915,2369752.8117359416,2984002994.621034,3036736685.0855794,167.72616136919314,15513.447432762812,4448689176.528118,28287895462.836163,110
11,1151416714.4254293,1075357.9462102705,11792515430.073355,21833633272.86068,42132147.67726161,171645154.76772597,486573353.3007328,418683122.9828849,198648832.51833713,302165794.6210266,38036714.18092915,2369752.8117359416,2984002994.621034,3036736685.0855794,167.72616136919314,15513.447432762812,4448689176.528118,28287895462.836163,120
12,1151416714.4254293,1075357.9462102705,11792515430.073355,21833633272.86068,42132147.67726161,171645154.76772597,486573353.3007328,418683122.9828849,198648832.51833713,302165794.6210266,38036714.18092915,2369752.8117359416,2984002994.621034,3036736685.0855794,167.72616136919314,15513.447432762812,4448689176.528118,28287895462.836163,130
