Path,Cycles(s),BR_INST_RETIRED,BR_MISS_PRED_RETIRED,CPU_CLK_UNHALTED,INST_RETIRED,LLC_MISSES:0x41,LLC_REFS:0x4f,arith:fpu_div_active,l1d:0x1,l2_rqsts:0x1,l2_rqsts:0x3,l2_rqsts:0x8,l2_rqsts:0x20,mem_trans_retired:0x2,mem_uops_retired:all_stores,misalign_mem_ref:0x1,misalign_mem_ref:0x2,resource_stalls:any,uops_dispatched:core
7,13100,7345149,2186,105869375,184143818,96936,3836162,2672,8297137,1977646,5364509,1200240,23371,35772142,27611091,25,0,44386721,282670783
7,13200,7297421,2875,127056348,203826002,432979,4742325,3101,9078514,2037536,5157175,1113289,21044,30397236,23114930,0,0,39762142,259865463
7,13300,8277231,2605,120292577,203880261,104539,3956888,2597,7554314,1581125,4335133,1277999,18812,35937933,27645124,34,0,45356733,302797183
7,13400,6833431,2267,112522623,199362686,114020,4514521,3025,9152708,2022136,5346363,1384201,31440,33303366,25870875,42,0,37740267,250565992
7,13500,7830655,3032,126948707,210122111,428391,4695628,2950,8405638,1720152,4459583,999440,25477,30237222,24791369,8,0,49356719,290450158
7,13600,7179123,2344,105892663,183719092,95451,4068841,2672,8335810,1851475,5257198,1196495,28186,35960518,27607604,33,0,42763496,279344287
7,13700,7909900,2623,127093176,220380292,116331,4650077,3025,9173196,1944922,4796351,1465911,20792,28656309,23152529,0,0,40067611,275968873
7,13800,7828501,2951,118435810,193103640,119866,3911944,2521,7651755,1689257,4763488,1115649,21773,35349962,27679028,33,0,46751599,289286231
7,13900,6863773,2407,114493396,193536217,416568,4721563,3026,9159913,1998721,5366311,1204324,16372,34788574,24836573,8,0,37836271,251361998
7,14000,8275568,2501,127074395,221240390,114798,4390964,2773,8126929,1554138,4187009,1138583,20711,31451379,26073552,16,0,45346929,302349118
7,14100,6851638,2209,105881871,183873407,93656,4034371,2773,8679219,2020923,5358604,1452254,32237,33994012,27732433,16,639,44835411,256749893
7,14200,7699458,3185,127051667,209855670,424504,4647563,3026,9104095,1940641,4882753,1048555,23668,30151454,23359170,8,0,43302029,281843847
7,14300,8101517,2609,113808954,194443459,285287,3983557,2521,7615277,1744091,4919051,1159427,34892,36010835,27760168,8,0,45466571,302165292
7,14400,7078161,2326,119126842,209603921,128092,4615679,3101,9180129,1981900,5066876,1582232,27259,32442672,23334262,16,0,37645767,251671300
7,14500,7792175,2623,127072778,214548697,91514,4257073,2748,7841816,1694817,4456679,1002991,19820,31617584,27710937,16,0,49153179,287910254
7,14600,6782145,2987,105717440,175546281,421190,4368766,2950,8901449,2016373,5331789,1195297,24676,36052399,28035466,8,0,38361941,254295823
7,14700,8288146,2609,127091992,220796962,129705,4654346,2997,8793856,1729397,4379634,1112826,22948,30105950,23249770,8,0,44555540,298783784
7,14800,7478157,3311,108231705,184399076,91506,3861145,2572,7965512,1838259,5075746,1540433,42012,34079914,27901031,65,567,49389048,283916907
7,14900,5863960,4072,123959446,174790350,457083,4224433,3080,8291647,1801211,4925868,1055107,26773,29000302,21764295,32,90,37292735,266223752
7,15000,7757548,4270,124959178,194332883,513985,4113068,2572,7475340,1646057,4355851,1020551,30252,33794934,27805908,32,9,45227124,297010980
7,15100,6890330,2249,107567030,194245125,330560,4538988,2976,9129107,1869060,5072970,1580329,21291,36044347,27093102,0,0,37482112,252197022
7,15200,8162618,3383,127031765,220753403,123816,4632642,2875,8544470,1746936,4451096,996860,25000,28169139,24388235,16,0,44799524,302848024
7,15300,6875564,3028,105861799,183157558,102205,3877451,2673,8274628,1913380,5352026,1198321,24671,36100453,28128519,16,0,47196650,271464732
7,15400,7821819,3176,127027634,208036041,539010,4910777,3026,9108541,1876983,4968655,1093389,21233,30128680,23456448,0,0,38929555,272135729
7,15500,8245859,3298,118380012,201052651,115263,3902106,2597,7638579,1671873,4528687,1488437,26143,34240538,28101789,40,0,44811840,302775979
7,15600,6819354,2677,114596722,203269667,123492,4525178,3102,9157306,2024295,5352305,1195913,27556,34410973,24867941,0,0,38060018,247688798
7,15700,7869997,3419,127033395,202613503,533301,4557873,2774,8013668,1695260,4469699,1003437,16093,31883850,26878698,8,0,45790875,292245419
7,15800,6878323,2708,105867059,183948668,107616,4088355,2774,8723202,1928241,5068360,1468451,27664,36043334,28179719,0,0,39704927,261963295
7,15900,8270907,3464,127062700,219971104,131981,4608067,3026,8966029,1900540,4762441,1198660,20607,28259713,23494955,7,0,42682945,292203447
7,16000,7649766,3248,109350723,188111622,108013,3843206,2522,7852183,1843012,5058953,1188738,24698,36131593,28200539,7,0,49059678,286614360
7,16100,7042490,3194,123402034,205428372,671022,4880432,3026,9064363,1959611,5321038,1153995,27007,31692804,23600762,7,0,37208641,255364221
7,16200,8276862,3230,125579421,210964184,120589,4138674,2572,7635090,1635497,4158897,1418872,20423,33220381,28233583,0,0,45378331,302299216
7,16300,6821641,2717,107324345,192981227,116876,4371908,2976,9135368,1992969,5334984,1197475,23168,35151814,27047656,7,0,37571914,250994495
7,16400,7864745,3568,127037265,204662239,437168,4763804,2998,8448843,1735342,4445867,1004545,19599,30002989,24385453,0,0,46422580,289906920
7,16500,7449073,2956,105865669,182371390,112801,3841823,2594,8155840,1773643,5010344,1576708,22124,35957876,28292179,0,0,44565440,284501816
7,16600,7631821,3613,127006769,218458753,130137,4563508,3102,9093634,1985866,5169105,1110024,28681,28313145,23268138,23,0,38421113,265785610
7,16700,7860845,3563,121669066,189797984,424978,4101527,2572,7517276,1676108,4571520,1083260,22875,35379794,28312213,0,0,46518576,290142638
7,16800,6761287,2969,111227590,196915113,124302,4418340,3052,9078057,1915644,5018962,1571730,22596,35334237,26293122,7,0,37503607,249974200
7,16900,8145441,3986,127022415,218367812,131358,4482952,2875,8301137,1718403,4424361,996944,24207,28335362,25381070,7,9,45143783,299883036
7,17000,5680915,5372,105351563,148313198,99461,3407984,2673,7282727,1699632,4657918,1052371,38213,30779512,23509957,0,0,45930586,256141858
7,17100,6852371,5656,126415337,184555066,435715,4246139,3027,8211792,1799656,4711990,1013970,23105,27649020,21816435,0,0,42700316,262569699
7,17200,7981050,4517,118280506,189319148,420584,3898396,2544,7577684,1675638,4698332,1103662,25850,35773643,28259654,23,0,45049335,300469903
7,17300,6863480,3415,114502080,201297530,211811,4655271,3027,9038875,1940943,5296949,1203315,20463,34552008,25364978,0,0,37641308,250135619
7,17400,8059204,4468,127001374,217745762,130732,4389484,2796,8120741,1692641,4232185,1502419,26120,28652706,26450704,7,468,49074729,288358786
7,17500,6724418,3244,105875727,172909023,416238,4109227,2774,8547064,2014384,5295440,1195307,25962,35818778,28471711,7,0,41094439,267827203
7,17600,7995439,4270,126357031,217541142,132762,4710774,3027,9041547,1812244,4778646,1054991,30877,29778549,23455233,15,0,41597682,280216400
7,17700,7717510,3640,115036228,193965732,113933,3840258,2522,7590338,1726921,4807728,1472477,32268,33886806,28204857,61,531,50399395,284072923
