Path,IPC
0,2.596984075475014
1,2.6411638632629493
2,2.3832139465075795
3,2.346513470159092
4,1.8128876095086501
5,1.8673764841412608
6,1.6672546737246983
7,1.6689391810164154
8,1.5058777110033976
9,1.504150538122533
10,2.32624181153284
11,2.3300484094994016
12,2.11320461995639
13,1.9474192996070852
14,1.7772168752977662
15,1.8516904476125544
16,1.6937468172834413
17,1.5231949820652042
18,1.8300474604747967
19,1.665921545783108
20,1.4951443883388402
21,2.02281967115082
22,1.9014139149853784
23,1.7388345666029996
24,1.8649434785647734
25,1.7288332874046548
26,1.5132139217005
27,2.003477839150693
28,1.778813854252082
29,1.7882460003468839
34,2.7345129943362365
