,BR_INST_RETIRED,BR_MISS_PRED_RETIRED,CPU_CLK_UNHALTED,INST_RETIRED,LLC_MISSES:0x41,LLC_REFS:0x4f,arith:fpu_div_active,l1d:0x1,l2_rqsts:0x1,l2_rqsts:0x3,l2_rqsts:0x8,l2_rqsts:0x20,mem_trans_retired:0x2,mem_uops_retired:all_stores,misalign_mem_ref:0x1,misalign_mem_ref:0x2,resource_stalls:any,uops_dispatched:core,Time
0,1304297156.0975575,4035596.341463412,11706234102.926828,24545605696.34143,8190893.65853658,130602388.78048798,527867730.7317077,488319673.9024397,283599702.9268293,373670512.4390244,17483083.170731727,2060542.6829268269,3338843971.951214,3286258455.3658495,301.2195121951214,215.12195121951248,3501867641.46342,32718306410.73179,10
1,1304297156.0975575,4035596.341463412,11706234102.926828,24545605696.34143,8190893.65853658,130602388.78048798,527867730.7317077,488319673.9024397,283599702.9268293,373670512.4390244,17483083.170731727,2060542.6829268269,3338843971.951214,3286258455.3658495,301.2195121951214,215.12195121951248,3501867641.46342,32718306410.73179,20
2,1304297156.0975575,4035596.341463412,11706234102.926828,24545605696.34143,8190893.65853658,130602388.78048798,527867730.7317077,488319673.9024397,283599702.9268293,373670512.4390244,17483083.170731727,2060542.6829268269,3338843971.951214,3286258455.3658495,301.2195121951214,215.12195121951248,3501867641.46342,32718306410.73179,30
3,1304297156.0975575,4035596.341463412,11706234102.926828,24545605696.34143,8190893.65853658,130602388.78048798,527867730.7317077,488319673.9024397,283599702.9268293,373670512.4390244,17483083.170731727,2060542.6829268269,3338843971.951214,3286258455.3658495,301.2195121951214,215.12195121951248,3501867641.46342,32718306410.73179,40
4,1326274640.71811,4101831.951040618,11748404020.338451,24997397799.256718,8138484.805438607,131720203.16395745,539542506.0229957,496570182.13714594,289202753.624497,379856079.5923785,17432683.009994652,2045843.6502474768,3394605158.648282,3372410438.088263,301.44582264893535,199.16829864631143,3541919013.847451,32638976583.149635,50
5,1352074296.5770173,4179586.7970660217,11797907836.430342,25527762441.809338,8076961.369193158,133032420.04889992,553247677.0171155,506255561.3691927,295780247.9217596,387117397.55501163,17373517.603912,2028588.2640586756,3460063943.0317874,3473545374.327624,301.71149144254287,180.44009779951088,3588935842.2982826,32545850263.814167,60
6,1352074296.5770173,4179586.7970660217,11797907836.430342,25527762441.809338,8076961.369193158,133032420.04889992,553247677.0171155,506255561.3691927,295780247.9217596,387117397.55501163,17373517.603912,2028588.2640586756,3460063943.0317874,3473545374.327624,301.71149144254287,180.44009779951088,3588935842.2982826,32545850263.814167,70
7,1352074296.5770173,4179586.7970660217,11797907836.430342,25527762441.809338,8076961.369193158,133032420.04889992,553247677.0171155,506255561.3691927,295780247.9217596,387117397.55501163,17373517.603912,2028588.2640586756,3460063943.0317874,3473545374.327624,301.71149144254287,180.44009779951088,3588935842.2982826,32545850263.814167,80
8,1335716726.2102675,4135810.8068459695,11799015862.151606,25215433882.34721,8095489.364303182,132663589.65770182,552364042.6405872,516012316.30806816,307348510.7334955,397142653.27628326,19430190.73349636,2014186.4303178443,3420703391.3936467,3434144772.004888,289.80440097799544,177.92176039119815,3673960422.6650324,32194155862.713932,90
9,1188498592.9095356,3741826.894865521,11808988093.643013,22404476847.18822,8262241.320293398,129344116.13691905,544411333.2518338,603823110.7579468,411462876.0391194,487369954.7677266,37940248.89975556,1884569.9266503628,3066458426.650368,3079539351.1002502,182.64058679706628,155.25672371638163,4439181645.965768,29028906252.811787,100
10,1188498592.9095356,3741826.894865521,11808988093.643013,22404476847.18822,8262241.320293398,129344116.13691905,544411333.2518338,603823110.7579468,411462876.0391194,487369954.7677266,37940248.89975556,1884569.9266503628,3066458426.650368,3079539351.1002502,182.64058679706628,155.25672371638163,4439181645.965768,29028906252.811787,110
11,1188498592.9095356,3741826.894865521,11808988093.643013,22404476847.18822,8262241.320293398,129344116.13691905,544411333.2518338,603823110.7579468,411462876.0391194,487369954.7677266,37940248.89975556,1884569.9266503628,3066458426.650368,3079539351.1002502,182.64058679706628,155.25672371638163,4439181645.965768,29028906252.811787,120
12,1188498592.9095356,3741826.894865521,11808988093.643013,22404476847.18822,8262241.320293398,129344116.13691905,544411333.2518338,603823110.7579468,411462876.0391194,487369954.7677266,37940248.89975556,1884569.9266503628,3066458426.650368,3079539351.1002502,182.64058679706628,155.25672371638163,4439181645.965768,29028906252.811787,130
13,1190230039.6821516,3758962.6894865474,11809010911.540316,22437566888.3374,8229659.486552562,128764162.51833731,545406117.9217612,605450116.308069,413475128.82640666,488869911.78484076,37845021.6381418,1900024.1075794625,3071677086.4792128,3084831450.268956,156.2347188264058,131.49144254278713,4414471294.889975,29101415089.193127,140
14,1194270082.1515899,3798946.2102689436,11809064153.300722,22514776984.352104,8153635.207823949,127410937.40831313,547727282.1515903,609246462.5916878,418170385.3300736,492369811.4914421,37622824.69437646,1936083.8630806874,3083853959.413198,3097179681.662594,94.62102689486568,76.03911980440094,4356813809.046458,29270602374.083057,150
15,1194270082.1515899,3798946.2102689436,11809064153.300722,22514776984.352104,8153635.207823949,127410937.40831313,547727282.1515903,609246462.5916878,418170385.3300736,492369811.4914421,37622824.69437646,1936083.8630806874,3083853959.413198,3097179681.662594,94.62102689486568,76.03911980440094,4356813809.046458,29270602374.083057,160
16,1194270082.1515899,3798946.2102689436,11809064153.300722,22514776984.352104,8153635.207823949,127410937.40831313,547727282.1515903,609246462.5916878,418170385.3300736,492369811.4914421,37622824.69437646,1936083.8630806874,3083853959.413198,3097179681.662594,94.62102689486568,76.03911980440094,4356813809.046458,29270602374.083057,170
17,1194270082.1515899,3798946.2102689436,11809064153.300722,22514776984.352104,8153635.207823949,127410937.40831313,547727282.1515903,609246462.5916878,418170385.3300736,492369811.4914421,37622824.69437646,1936083.8630806874,3083853959.413198,3097179681.662594,94.62102689486568,76.03911980440094,4356813809.046458,29270602374.083057,180
18,1139625731.8380775,3647641.7505337307,11809369393.158672,22346040510.786915,7243630.7208479885,128204599.4331265,594072146.116124,603964608.2888247,416522129.1709883,494004133.4375632,36397940.75757649,2127092.005891825,2900163472.6681085,2913539833.8033676,45.63529727473318,35.738386308068435,4386217013.56159,28844639526.09705,190
19,1091167534.390246,3513466.0975609794,11809640077.560991,22196406279.51217,6436645.609756094,128908412.92682916,635170421.7073164,599280699.7560977,415060468.04878104,495453437.8048778,35311722.9268293,2296476.585365853,2737268135.3658533,2750689402.6829247,2.1951219512195137,0.0,4412291553.414632,28466898887.31701,200
20,1091167534.390246,3513466.0975609794,11809640077.560991,22196406279.51217,6436645.609756094,128908412.92682916,635170421.7073164,599280699.7560977,415060468.04878104,495453437.8048778,35311722.9268293,2296476.585365853,2737268135.3658533,2750689402.6829247,2.1951219512195137,0.0,4412291553.414632,28466898887.31701,210
21,1091167534.390246,3513466.0975609794,11809640077.560991,22196406279.51217,6436645.609756094,128908412.92682916,635170421.7073164,599280699.7560977,415060468.04878104,495453437.8048778,35311722.9268293,2296476.585365853,2737268135.3658533,2750689402.6829247,2.1951219512195137,0.0,4412291553.414632,28466898887.31701,220
22,1091167534.390246,3513466.0975609794,11809640077.560991,22196406279.51217,6436645.609756094,128908412.92682916,635170421.7073164,599280699.7560977,415060468.04878104,495453437.8048778,35311722.9268293,2296476.585365853,2737268135.3658533,2750689402.6829247,2.1951219512195137,0.0,4412291553.414632,28466898887.31701,230
23,1090872136.712245,3512575.133452897,11809615414.828398,22191256701.956245,6450196.124031561,128867803.04084161,634937487.532974,599195157.3786229,415018513.83976614,495408474.76936847,35304504.59084173,2287743.9850310856,2736543979.707556,2750052221.4969134,2.768866571018653,0.08823529411764706,4412742192.5424185,28469328627.874596,240
24,1076397650.4901977,3468917.8921568664,11808406940.931372,21938927401.71571,7114171.323529422,126877918.62745126,623523712.9901958,595003580.8823532,412962757.59803843,493205286.0294108,34950806.12745097,1859846.5686274476,2701060352.450986,2718830343.382357,30.882352941176453,4.411764705882345,4434823509.803919,28588385915.19612,250
25,1076397650.4901977,3468917.8921568664,11808406940.931372,21938927401.71571,7114171.323529422,126877918.62745126,623523712.9901958,595003580.8823532,412962757.59803843,493205286.0294108,34950806.12745097,1859846.5686274476,2701060352.450986,2718830343.382357,30.882352941176453,4.411764705882345,4434823509.803919,28588385915.19612,260
26,1076397650.4901977,3468917.8921568664,11808406940.931372,21938927401.71571,7114171.323529422,126877918.62745126,623523712.9901958,595003580.8823532,412962757.59803843,493205286.0294108,34950806.12745097,1859846.5686274476,2701060352.450986,2718830343.382357,30.882352941176453,4.411764705882345,4434823509.803919,28588385915.19612,270
27,1076397650.4901977,3468917.8921568664,11808406940.931372,21938927401.71571,7114171.323529422,126877918.62745126,623523712.9901958,595003580.8823532,412962757.59803843,493205286.0294108,34950806.12745097,1859846.5686274476,2701060352.450986,2718830343.382357,30.882352941176453,4.411764705882345,4434823509.803919,28588385915.19612,280
28,1076397650.4901977,3468917.8921568664,11808406940.931372,21938927401.71571,7114171.323529422,126877918.62745126,623523712.9901958,595003580.8823532,412962757.59803843,493205286.0294108,34950806.12745097,1859846.5686274476,2701060352.450986,2718830343.382357,30.882352941176453,4.411764705882345,4434823509.803919,28588385915.19612,290
29,1198806187.149816,3632719.7604391333,11799585312.466795,23238854016.266365,5729184.968071319,128316659.7614459,618568754.4236544,552198770.2232122,361193571.032409,450560558.66057676,29774604.057289492,2117497.1786758685,2992345134.624385,2631852317.1351953,72.05206385732767,97.1405148856608,3954217834.7126927,30513311124.861908,300
30,1354598870.171149,3841194.8655256657,11788357785.330065,24893306071.149094,3966475.0611247,130147784.84107561,612262443.5207833,497719920.29339796,295305515.4034231,396285451.10024405,23186710.513447464,2445416.136919316,3363071221.026897,2521153011.0024447,124.44987775061102,215.1589242053794,3342537884.5965824,32963215937.16385,310
31,1354598870.171149,3841194.8655256657,11788357785.330065,24893306071.149094,3966475.0611247,130147784.84107561,612262443.5207833,497719920.29339796,295305515.4034231,396285451.10024405,23186710.513447464,2445416.136919316,3363071221.026897,2521153011.0024447,124.44987775061102,215.1589242053794,3342537884.5965824,32963215937.16385,320
32,1354598870.171149,3841194.8655256657,11788357785.330065,24893306071.149094,3966475.0611247,130147784.84107561,612262443.5207833,497719920.29339796,295305515.4034231,396285451.10024405,23186710.513447464,2445416.136919316,3363071221.026897,2521153011.0024447,124.44987775061102,215.1589242053794,3342537884.5965824,32963215937.16385,330
33,1279570862.5785124,3671320.4787286124,11790814140.271273,23448966298.516373,3952553.8043473116,125583345.92674564,589521566.0343083,550352251.9335508,354476917.6150341,438779253.70752096,30949205.969688065,2244772.3159818673,3186454782.1783986,2692914412.5191,163.16819130538462,141.89032738982644,3824983225.0825343,31191945248.091972,340
34,1194964811.4634142,3479760.000000006,11793584072.439009,21820242725.121956,3936855.3658536626,120436212.68292668,563877597.804879,609703604.6341462,421202115.85365945,486697797.0731719,39702658.292682916,2018514.3902438981,2987291563.9024386,2886602801.4634137,206.8292682926826,59.26829268292689,4369017332.439032,29194554896.58538,350
35,1194964811.4634142,3479760.000000006,11793584072.439009,21820242725.121956,3936855.3658536626,120436212.68292668,563877597.804879,609703604.6341462,421202115.85365945,486697797.0731719,39702658.292682916,2018514.3902438981,2987291563.9024386,2886602801.4634137,206.8292682926826,59.26829268292689,4369017332.439032,29194554896.58538,360
36,1194964811.4634142,3479760.000000006,11793584072.439009,21820242725.121956,3936855.3658536626,120436212.68292668,563877597.804879,609703604.6341462,421202115.85365945,486697797.0731719,39702658.292682916,2018514.3902438981,2987291563.9024386,2886602801.4634137,206.8292682926826,59.26829268292689,4369017332.439032,29194554896.58538,370
37,1192227992.5431328,3479858.739364307,11795429485.852571,21820511428.328606,4100854.56817938,120154370.6090284,558311486.7038828,605984292.718862,418423687.2918485,484414653.7616562,39652633.26618163,2038320.7668077974,2967495750.4426494,2829135644.251202,213.1641242769392,58.056306279444264,4391825602.538153,29075777956.222336,380
38,1175416104.8899758,3480465.2811735896,11806765596.82153,21822162033.740852,5108278.239608805,118423055.01222472,524119661.3691927,583137090.9535459,401356197.55501163,470389630.5623472,39345336.67481661,2159988.5085574575,2845892896.3325167,2476123107.090469,252.07823960880148,50.6112469437653,4531933547.432761,28346148179.70658,390
39,1175416104.8899758,3480465.2811735896,11806765596.82153,21822162033.740852,5108278.239608805,118423055.01222472,524119661.3691927,583137090.9535459,401356197.55501163,470389630.5623472,39345336.67481661,2159988.5085574575,2845892896.3325167,2476123107.090469,252.07823960880148,50.6112469437653,4531933547.432761,28346148179.70658,400
40,1175416104.8899758,3480465.2811735896,11806765596.82153,21822162033.740852,5108278.239608805,118423055.01222472,524119661.3691927,583137090.9535459,401356197.55501163,470389630.5623472,39345336.67481661,2159988.5085574575,2845892896.3325167,2476123107.090469,252.07823960880148,50.6112469437653,4531933547.432761,28346148179.70658,410
