Path,Instructions,Cycles,IPC,Time,Total_Time
0,3711073400.0,117278302.1724138,2.500702007887038,1.26537698540855,1.26537698540855
1,3711073400.0,117224306.1724138,2.4969261357544883,1.2678742397033789,2.533251225111929
2,91004741900.0,118073672.375,2.3913743203331106,32.23022890470462,34.76348012981654
3,91004741900.0,118051444.6675,2.3808303345556343,32.379062404329375,67.14254253414592
12,38410061400.0,118152532.3525,2.361521188137244,13.766074660150034,80.90861719429596
13,39220461400.0,118000235.215,2.3050160296241913,14.419688397503357,95.3283055917993
14,39019669400.0,117982035.565,2.2973360543578107,14.396044224964562,109.72434981676386
15,205000000000.0,118055875.61,2.0712957943982846,83.83476108466375,193.55911090142763
16,206000000000.0,118075410.5825,2.112322556318645,82.59381361225172,276.15292451367935
17,206000000000.0,118034318.075,2.0809010630402627,83.87016414736496,360.0230886610443
18,55372061400.0,118062387.3575,2.0573605669136064,22.796528633270505,382.8196172943148
19,56182461400.0,118151584.1575,2.0732013362255963,22.936108429030412,405.7557257233452
20,55981669400.0,118077293.7025,2.060182168769926,23.01303142688526,428.7687571502305
21,136000000000.0,118058253.3825,2.2827581563005594,50.4641138488258,479.2328709990563
22,137000000000.0,118072003.4425,2.3061402217597085,50.3138932855817,529.546764284638
23,133000000000.0,117901678.6275,2.3076580101085975,48.883264920470836,578.4300292051089
24,38384061400.0,118065197.995,2.221177915431149,14.63678450454553,593.0668137096544
25,39194461400.0,118065550.24,2.1212781022990472,15.649623603177073,608.7164373128314
26,38993669400.0,117983996.225,2.0609728195998813,16.03609937819937,624.7525366910309
