Path,Cycles(s),BR_INST_RETIRED,BR_MISS_PRED_RETIRED,CPU_CLK_UNHALTED,INST_RETIRED,LLC_MISSES:0x41,LLC_REFS:0x4f,arith:fpu_div_active,l1d:0x1,l2_rqsts:0x1,l2_rqsts:0x3,l2_rqsts:0x8,l2_rqsts:0x20,mem_trans_retired:0x2,mem_uops_retired:all_stores,misalign_mem_ref:0x1,misalign_mem_ref:0x2,resource_stalls:any,uops_dispatched:core
15,4300,4076378,8273,111212124,202536430,616671,2082182,2915267,9927801,7577110,9029802,1223371,23795,29757732,31899427,0,0,46235757,224838169
15,4400,11978353,11525,126389023,199886011,344611,2135979,6149781,8204772,4897893,5973662,573258,24800,21813425,26111858,0,0,50121668,296115062
15,4500,15289195,9866,105252234,183633274,1038301,2262850,5767942,10362599,6576822,7777871,486384,26730,29752666,29400572,0,288,50043527,280464884
15,4600,7447602,9551,126521383,230000072,728417,2325273,2961412,10402780,7601426,9013833,824786,18987,29152687,30663388,0,0,51432375,244888775
15,4700,10239196,10657,118532902,177584049,376544,1915944,3835238,7304199,5318029,7043876,884003,27636,25572530,27995503,9,0,51307469,289019639
15,4800,15106548,10027,113320203,205671346,1045190,2505611,7629973,10858599,6521429,7601104,481082,21147,28480759,26687523,0,0,42493226,262266403
15,4900,8679147,8956,126533686,236490949,858942,2000451,3552210,9640869,6782862,7713796,806049,19062,30900658,33624220,0,1461,57826168,276410521
15,5000,8340211,9578,105375154,155336585,257848,1889717,3649978,8273006,6165538,7950076,923057,29052,25517793,28590800,0,1669,47591521,257413100
15,5100,16412512,10761,126440054,221522743,1154831,2669250,7813304,11147401,6680530,7496797,450000,19918,23858963,23390195,0,0,45759584,294889967
15,5200,9897909,8327,116737767,217320258,906369,1875060,3405039,9162950,6970085,8423208,743399,20355,36390445,36613782,0,0,58118648,276874387
15,5300,6153240,9002,115155994,177871834,378440,2082058,3190768,9046074,6876633,8237026,1014274,27039,24382271,26263900,0,0,43780606,229077375
15,5400,17930584,11301,126608599,221633553,779671,2401820,8330051,8990842,5342685,6565712,423553,21164,22400816,25311423,0,1109,50683125,302673260
15,5500,11580729,7796,105385238,201276852,903093,2135501,4382776,10707213,7086544,8443389,502753,22537,36036903,35238029,0,550,50120679,266854986
15,5600,4627164,8728,126424119,205219651,508729,2256809,2368841,9843201,7048927,8039240,1207579,20854,24094048,26639653,0,0,51344944,247179824
15,5700,14057206,11202,114376763,188698723,347035,1862789,6345382,7853581,5563705,7364192,439589,27026,25233959,27972698,0,1055,52101020,294514847
15,5800,11664650,9623,117172252,194869318,1090253,2446125,5803587,9660021,5932444,7029526,675917,21078,28792947,26722989,0,0,44223128,252885611
15,5900,8634126,10095,125868131,217966479,737061,2178294,3506515,8595780,5531801,6660887,620913,18624,27474089,28959580,0,0,54055597,280779872
15,6000,5334784,8800,105414823,157191969,341066,1893848,2692841,8680210,6772081,8321863,1216552,26358,26685953,30063601,0,0,46239767,241006011
15,6100,17325095,11396,126461485,211829048,872815,2598792,8113388,9720796,5619477,6799899,418028,18278,21828973,22255773,0,0,49776701,288185052
15,6200,12995834,8539,112533059,209991216,898498,2060885,4687461,10069344,7041835,8312985,440210,21803,35096154,34109782,0,0,54300111,298699487
15,6300,4123703,7923,119458480,192922371,602742,2245488,2519960,9777534,7442027,8663940,1241459,23905,26836673,28577901,0,0,46868459,212830517
15,6400,15334023,12305,126350140,211074559,494860,2141653,6698731,8131032,5370471,6803142,368235,23103,22633891,26415686,0,0,51565498,294967267
15,6500,13705017,7968,105547664,193455818,1030860,2299826,6161017,10306984,6292758,7652455,481406,22761,32131252,31980250,0,0,42750514,265552975
15,6600,6760125,9119,126456617,219792357,771081,2353294,2733638,10250566,7052797,8000843,1001808,17940,27485135,28844969,0,0,58352335,256382978
15,6700,10453885,10199,109574791,178246173,237336,1862140,5459868,8189183,6271999,7905368,609207,28910,25275366,28356883,0,0,51503387,286370298
15,6800,15777558,9835,122558266,215493834,1032998,2487781,7092868,10214051,6213126,7454422,465733,21473,27370169,25583229,0,0,41669455,263242835
15,6900,8407575,8840,126405411,231409066,726957,2152159,2388375,9847776,6489239,7565412,1068912,20316,31654928,33828250,0,0,59955829,262687660
15,7000,6850760,8211,105444329,169785550,337685,1887138,5347757,8906811,6754440,8232594,684452,26897,25424652,28270640,9,0,42565591,256324697
15,7100,18733101,11068,126545197,219405937,1146814,2600231,7281540,9706317,5464151,6098403,625425,18668,24066426,25079521,9,0,50507799,297176345
