,POWER_CPU,POWER_MEM,TIME
0,7.9676292031966085,7.15134060054779,10.0
1,8.109651615805632,7.339533828936613,20.0
2,8.109651615805632,7.339533828936613,30.0
3,8.11463492456528,7.34154452270209,40.0
4,8.121241554901921,7.344209859622115,50.0
5,8.121241554901921,7.344209859622115,60.0
6,8.214835573203615,7.385930694896832,70.0
7,8.752112669994098,7.624699987362014,80.0
8,8.752112669994098,7.624699987362014,90.0
9,8.752112669994098,7.624699987362014,100.0
10,8.752112669994098,7.624699987362014,110.0
11,8.752112669994098,7.624699987362014,120.0
12,8.752112669994098,7.624699987362014,130.0
13,8.752112669994098,7.624699987362014,140.0
14,8.983087957762272,7.881121777129959,150.0
15,9.076944152392805,7.985888366501271,160.0
16,9.076944152392805,7.985888366501271,170.0
17,9.076944152392805,7.985888366501271,180.0
18,9.076944152392805,7.985888366501271,190.0
19,9.076944152392805,7.985888366501271,200.0
20,9.076944152392805,7.985888366501271,210.0
21,9.076944152392805,7.985888366501271,220.0
22,9.122862071648925,8.027695145309757,230.0
23,9.122862071648925,8.027695145309757,240.0
24,9.122862071648925,8.027695145309757,250.0
25,9.122862071648925,8.027695145309757,260.0
26,9.122862071648925,8.027695145309757,270.0
27,9.122862071648925,8.027695145309757,280.0
28,9.122862071648925,8.027695145309757,290.0
29,9.271725007253593,8.036637639434844,300.0
30,9.677077292451422,8.060542969298101,310.0
31,10.522268907943463,8.69546453269908,320.0
32,10.784983212848637,8.9138679420678,330.0
33,10.195764896460801,8.612444739990593,340.0
34,9.937900798852098,8.33185155278139,350.0
35,9.688347186014632,8.062404953243977,360.0
36,10.13023587113743,8.599071098913246,370.0
37,10.200617476856344,8.631894120596748,380.0
38,10.29265980030388,8.640750500170796,390.0
39,9.708452110803506,8.167999489669548,400.0
40,9.51211867033036,8.009844313336203,410.0
41,9.51211867033036,8.009844313336203,420.0
42,9.51211867033036,8.009844313336203,430.0
43,9.51211867033036,8.009844313336203,440.0
44,9.803591412594578,8.294786165368077,450.0
45,9.933911772180181,8.422842999224063,460.0
46,9.933911772180181,8.422842999224063,470.0
47,9.933911772180181,8.422842999224063,480.0
48,9.933911772180181,8.422842999224063,490.0
49,9.854872531273543,8.407609294780734,500.0
50,9.787653534977231,8.39463330769646,510.0
51,9.787653534977231,8.39463330769646,520.0
52,9.787653534977231,8.39463330769646,530.0
53,9.787653534977231,8.39463330769646,540.0
54,10.08833951369413,8.411063431051009,550.0
55,10.379569188629262,8.426743619838991,560.0
56,10.44278186319255,8.562547301183944,570.0
57,10.545160316029154,8.784295806566476,580.0
58,10.522140420685844,8.779278621960515,590.0
59,10.315442212098894,8.734116988789722,600.0
60,10.315442212098894,8.734116988789722,610.0
