Path,Instructions,Cycles,IPC,Time,Total_Time
6,111478000000.0,117062341.0292683,2.096797781466244,45.41668328706831,45.41668328706831
7,111478000000.0,117979078.36430317,2.1637533362468786,43.669318944077006,89.08600223114532
8,107544000000.0,118089880.93643032,1.8972393459562342,48.00112081773364,137.08712304887896
9,107544000000.0,118090641.53300734,1.9065674207603494,47.765962805114086,184.85308585399304
10,122443000000.0,118096400.77560976,1.879515898345344,55.16343432270735,240.0165201767004
11,122443000000.0,118084069.40931372,1.8579074646952574,55.81084150468751,295.8273616813879
14,98866377370.0,117883577.85330074,2.1116856583813073,39.71604940196521,335.54341108335313
15,94519776767.0,117935840.72439024,1.8501790966254856,43.31747265954016,378.8608837428933
16,96173861466.0,118067655.96821515,1.8482760460337713,44.07164666695198,422.9325304098453
