Path,Cycles(s),BR_INST_RETIRED,BR_MISS_PRED_RETIRED,CPU_CLK_UNHALTED,INST_RETIRED,LLC_MISSES:0x41,LLC_REFS:0x4f,arith:fpu_div_active,l1d:0x1,l2_rqsts:0x1,l2_rqsts:0x3,l2_rqsts:0x8,l2_rqsts:0x20,mem_trans_retired:0x2,mem_uops_retired:all_stores,misalign_mem_ref:0x1,misalign_mem_ref:0x2,resource_stalls:any,uops_dispatched:core
8,20600,12086422,36673,127066276,240275374,47271,1286154,6214096,6621929,4598692,5108202,396862,15377,28006715,28062195,0,0,42056148,278599883
8,20700,12689680,41826,120170712,222323648,69087,1103932,4692912,5308202,3534965,4548318,309565,21344,34515798,34764140,0,0,46944557,315984532
8,20800,11075667,32155,112646524,218069492,53302,1226920,6238668,6606846,4543203,5341907,444336,18928,32059312,30839518,0,0,41244235,259557795
8,20900,12432563,44855,127011470,245829110,156791,1430260,5164070,5942244,3813905,4427945,371699,14000,28329211,29631600,0,0,48127903,315116168
8,21000,11586115,31682,105810644,198978817,62287,1121139,4892557,5944564,4293149,5045107,381765,19382,33352864,33046486,9,9,45283981,283636909
8,21100,12776164,37456,126898267,240794687,53543,1254247,6237771,6624189,4303614,4859934,403194,15246,27383381,27477901,0,0,45002031,289570626
8,21200,12035106,42483,115682914,217342743,92882,1103439,4931246,5445166,3843462,4616261,330458,17780,34319598,34369278,0,0,47833193,314574871
8,21300,10723868,34050,116987344,220619319,51212,1289684,6190408,6413550,4452247,5215111,421265,21430,30712815,29519787,0,0,40357122,258782825
8,21400,12429430,44936,126739561,243330990,153792,1457165,4709888,5533806,3330438,4203496,301658,23675,30008930,30930010,0,0,47007486,311412132
8,21500,10500871,32105,105595589,196559382,42490,1180402,5620454,6197776,4475678,5261062,425801,24625,32872339,32942653,0,0,41822195,268219958
8,21600,12111165,45188,126557725,238584290,164023,1456792,5582174,6235538,4309059,4668233,289329,19648,28496103,28468648,0,0,44230878,301622430
8,21700,12343322,34864,110891790,205206850,36435,1065167,4831188,5475426,4012667,4899072,418530,22496,33326535,33447659,0,0,48081821,309758257
8,21800,11206749,37366,121542798,234768213,136271,1533576,5058136,6333985,4179670,5086949,355526,20165,30396296,28767141,0,0,40266988,258598972
8,21900,13563881,38059,126820108,234617102,37140,1154512,5550771,5579896,3909939,4520108,351324,21947,31375937,33057072,0,0,47764618,311741437
8,22000,10305410,29783,105294552,181408082,47072,1028691,4816503,6083849,4578714,5046080,394603,21479,29167999,30087361,0,0,38228569,259813404
8,22100,11515369,45579,126306002,227779730,152744,1379036,5242523,6062192,4007164,4350815,302896,21151,26609191,27029428,9,0,45281111,311631743
8,22200,11994694,33541,107176160,200321599,41847,1077632,5179977,5691854,4222683,5167661,431683,29026,32783863,33031915,0,0,47982691,302799090
8,22300,11457890,38464,125090946,238015454,128313,1526727,5088898,6300447,4150525,4955506,336393,19346,29714470,28437865,18,0,39763791,267266333
8,22400,13110857,38284,124775151,227819118,38278,1133341,5384270,5498337,3778003,4425323,383588,24346,31477950,32791688,0,9,47619020,309342712
8,22500,9981335,38815,107550193,213509762,149310,1479234,5058789,6301633,4214287,5117545,449169,23068,33082677,32823719,0,0,38716944,261448445
8,22600,13185297,37483,126777723,238640473,50872,1261587,5871854,6081361,4037701,4378503,358956,20548,27422285,27999408,0,0,47908580,312188423
8,22700,11719791,33059,105638838,199212393,33410,1085782,5428733,5953995,4244540,5258716,446933,22114,32880710,32912717,0,0,47020642,294017128
8,22800,11649824,39855,126755267,238927954,66194,1362947,5363288,6349918,4141329,4900094,327475,23846,28859320,28389627,9,9,40433345,274810555
8,22900,13277455,38473,120835160,223573863,31485,1100565,5078251,5521361,3800603,4520036,380187,22424,32556901,32876612,0,9,47311674,311906476
8,23000,9965552,38964,111347482,217607040,150819,1486748,5153832,6311511,4109344,5058342,408310,29516,32090554,30520493,0,0,38566923,257972286
8,23100,12673830,38559,126618596,236225681,43830,1270964,5676637,5874928,3723045,4400012,366133,18941,27832881,29590237,0,0,47882185,311064373
8,23200,10163782,38788,105559917,200693494,145321,1267603,5175997,5868709,4379903,5098914,344966,22699,33940006,33921835,27,0,43713419,282301793
8,23300,12316507,37911,126815916,236310635,43611,1305020,6029651,6450262,4419238,4873323,389789,20444,27600546,27582067,0,0,42910301,284310354
8,23400,12733965,39904,117218620,220151712,136614,1332063,3902060,5188094,3472124,4530384,312774,22487,34341246,34430181,0,0,49178581,304914760
8,23500,11095790,31700,115010210,223127845,43043,1255291,6144656,6635474,4557514,5260515,450114,21461,31551150,30085041,0,0,39943340,260614111
8,23600,13124008,38140,126750782,238747745,47307,1211957,5779880,5801317,3709014,4341775,369130,25853,28497646,30203296,0,0,48385338,309970260
8,23700,10182907,39121,105658875,202800760,151505,1392045,4484046,5848735,4372299,5152522,391188,22478,34065982,34224081,0,0,42485067,276338533
8,23800,12840680,38478,126767243,238013901,46821,1307500,6097131,6529166,4522217,5304402,413854,22600,32925541,32148248,18,0,45228153,289287706
8,23900,12342295,40593,126664170,237176506,86716,1422091,5252608,5803096,3548392,4135640,288951,16281,28725512,29714995,0,0,47914448,308745806
8,24000,11175267,32623,105595074,195018914,43018,1094123,5149183,5814758,4307417,5115958,422620,24382,32806286,32939110,0,0,46042447,292055828
8,24100,11262544,45120,126799793,241464668,152380,1559401,5433018,6270376,4092862,4836553,372923,21844,27461280,27449427,0,0,39827030,279709486
8,24200,12659222,37636,119784747,219829506,39463,1121536,5046735,5451693,3790368,4528021,396719,21150,32459632,32597833,0,0,47327194,312114829
8,24300,10343046,39666,112425313,218525351,92633,1284641,5991072,6536398,4359404,5182380,363091,22019,33254560,31972296,18,18,38905391,258044212
8,24400,13207515,38117,126652710,238759118,44008,1245447,5652803,5919878,3795772,4411958,367582,19161,28476648,29868586,0,0,48574908,309395480
8,24500,11443358,31934,105594733,199374555,34746,1105698,5515167,6094039,4587327,5243879,419677,26276,32896014,32934590,18,9,44045166,279488158
8,24600,11844198,44495,126714931,239530809,158135,1543021,5229818,6209461,3901695,4612168,327938,21911,27918793,27968676,0,0,42496022,292401238
8,24700,13039128,36034,115463425,213902111,37707,1051089,4879088,5351517,3926920,4809476,370872,22429,33165317,33280045,0,0,48172009,309268768
8,24800,9991630,40809,116626134,226414925,159359,1469188,5486001,6459246,4556484,5347349,403878,24899,31844436,30509689,0,0,39431708,258496479
8,24900,13229174,37964,126700175,236784083,46660,1208107,5518942,5740122,3839708,4505458,367272,17226,29457580,31050189,0,0,47884357,309631993
8,25000,11208130,31398,105655680,202322526,105088,1344762,4693609,6122373,4271203,5126150,361512,24481,34024073,34013494,0,0,41944824,269436943
8,25100,12808753,38095,126850372,236863536,48971,1311275,6077224,6364832,4236328,4663318,352215,17919,27531051,27586292,0,0,45614787,299532280
8,25200,11277780,42402,111187008,210149471,142279,1321258,4099247,5258344,3643531,4749942,448486,22415,33048575,34072535,0,0,47022593,310910424
8,25300,11345899,34634,120997115,227747777,46664,1268682,5964905,6525471,4536972,5243441,411424,21650,29777146,28121029,0,0,40132958,258690431
8,25400,12576318,38239,126676581,230135727,42292,1207553,5507690,5498526,3744291,4436687,386779,18999,30252888,31964592,0,0,47240052,313969544
8,25500,10488600,35390,105498038,202545309,75067,1267204,5373482,6339747,4165475,5049393,360364,22671,34159619,33919463,0,0,38827385,256765913
8,25600,12919989,37996,126673411,237681489,46031,1298033,6015101,6208384,3979269,4416743,365985,19670,27251804,27294605,0,0,47643490,313055141
8,25700,11489027,40588,106723332,204630149,145378,1295899,4108153,5596557,3916334,4908287,356324,22518,33656811,33249470,0,0,46915684,303420336
8,25800,12307335,35030,125687107,238248106,42062,1260951,6167107,6647736,4586785,5244587,416006,18491,28874234,27544008,0,0,39578014,272184184
8,25900,10824114,39805,122910390,188023355,94097,975915,3856454,4713081,3416063,4067250,309921,20718,28201405,29964780,0,0,42782268,310374018
8,26000,10533666,32204,108366632,211117337,41159,1231132,6318956,6596773,4516949,5260443,441291,22802,32661830,31569601,0,0,39646696,260545087
8,26100,12219295,45327,126638685,241763163,157268,1516028,5249963,5925894,3736896,4378831,372776,26744,26825415,28076234,0,0,47070394,312167580
8,26200,11537683,31565,105601290,199759040,34970,1088367,5105161,5901405,4087822,5027341,370638,26105,33221196,32968917,0,0,46115708,292556302
8,26300,12220222,37195,126590954,235923636,46212,1293700,6233486,6535519,4507716,5047032,402048,18828,27302390,27172239,0,0,41142294,279246045
8,26400,12252432,44589,119064011,222509419,150911,1238088,4612760,5379797,3773948,4480367,335107,23783,33784324,34211077,0,0,47596549,312300667
8,26500,10852841,32154,113319965,217523006,43049,1277350,5881574,6494239,4555962,5287142,412676,20939,31924161,30621170,0,0,40033482,259371211
8,26600,13136122,40939,126823458,243754764,141684,1460500,4587866,5636025,3472704,4254972,274818,18090,29837745,31362854,0,0,48441802,310163254
8,26700,11163081,31461,105702170,200367375,35639,1124858,5465038,6148469,4587754,5301633,433619,21821,32726042,32744028,0,0,44127481,279236590
8,26800,11669558,45804,126754331,240097107,157616,1563113,5319802,6278334,4129658,4705032,365293,21218,28091226,28210977,0,9,42194088,293144863
8,26900,13205285,36074,114785274,212594796,37730,1056154,4972405,5408237,3965705,4884303,390308,21533,33240434,33278573,0,0,48109602,311082270
8,27000,10626769,34022,117497569,225608938,83320,1432218,5479455,6349129,4128079,5026298,366593,21771,31350137,29685321,18,0,39851381,259916066
8,27100,12865395,40394,126646927,237281426,52502,1216437,5593739,5654495,3740792,4474694,361625,20979,29641050,31527392,0,0,47619448,309066532
8,27200,11282797,31295,105625767,200269464,33736,1148732,5638964,6402501,4654839,5355620,426630,21960,32902250,32803202,27,0,41380147,272662204
8,27300,11943070,45151,126735449,241146660,153280,1556101,5263579,6177692,3869701,4438130,329217,18180,27346534,27601642,0,0,45196408,296835553
8,27400,12529018,35525,111601202,207377853,35877,1055532,4879439,5460544,3996417,4934475,413280,29795,33306658,33319949,0,0,48533211,308845473
8,27500,10464125,41177,120555559,229964902,115237,1328606,5781405,6430757,4353098,5007236,338482,24732,31174058,29874564,0,0,39965937,255105118
8,27600,13353750,38140,126757677,234549911,39404,1184545,5346727,5650867,3805647,4410840,383045,21794,30465073,31866382,0,0,47598582,312289177
8,27700,10569508,36146,105601405,206952462,150032,1418626,4928509,6231149,4114082,5012632,366278,24071,33725296,33433171,0,0,39346778,262367178
8,27800,13242132,37991,126699045,238735281,46936,1266372,6045044,6248876,4168401,4557199,349575,20925,27219050,27073436,9,0,47677739,311060062
8,27900,11352430,36177,107258106,199611328,39275,1099374,5190463,5679337,4151668,5135512,388675,25016,33631571,33884033,0,0,46422757,302999052
8,28000,11773990,40556,125218065,240363369,148183,1500237,5270769,6402715,4439606,5367795,430991,19332,28764295,27611402,0,0,39798528,268325500
